day,id,reason
15,196,dehydration
40,195,dehydration
83,146,starvation
97,171,starvation
105,160,starvation
131,34,dehydration
150,225,dehydration
4426,23,dehydration
4663,136,dehydration
4781,2028,dehydration
4786,304,dehydration
4787,401,dehydration
4792,720,dehydration
4796,97,dehydration
4799,1584,dehydration
4806,111,dehydration
4806,3564,dehydration
4811,2312,dehydration
4812,134,dehydration
4814,1008,dehydration
4817,197,dehydration
4818,1,dehydration
4818,608,dehydration
4821,2035,dehydration
4821,2749,dehydration
4822,1379,dehydration
4826,1923,dehydration
4828,2465,dehydration
4832,15,dehydration
4834,3780,dehydration
4836,2298,dehydration
4841,682,dehydration
4843,1779,dehydration
4843,3562,dehydration
4844,186,dehydration
4844,340,dehydration
4845,253,dehydration
4850,1223,dehydration
4850,1476,dehydration
4851,1373,dehydration
4854,1728,dehydration
4858,150,dehydration
4860,838,dehydration
4862,523,dehydration
4864,465,dehydration
4866,2079,dehydration
4870,445,dehydration
4870,1618,dehydration
4871,19,dehydration
4873,1164,dehydration
4875,335,dehydration
4875,1124,dehydration
4875,1205,dehydration
4875,1297,dehydration
4876,1211,dehydration
4877,2146,dehydration
4877,2333,dehydration
4879,2119,dehydration
4880,580,dehydration
4881,220,dehydration
4881,659,dehydration
4883,338,dehydration
4883,375,dehydration
4884,297,dehydration
4884,480,dehydration
4885,93,dehydration
4885,331,dehydration
4886,676,dehydration
4887,553,dehydration
4887,2923,dehydration
4889,116,dehydration
4889,1083,dehydration
4900,964,dehydration
4909,282,dehydration
4910,1567,dehydration
4911,884,dehydration
4917,324,dehydration
4917,499,dehydration
4917,1372,dehydration
4918,1024,dehydration
4920,1404,dehydration
4921,403,dehydration
4924,258,dehydration
4924,328,dehydration
4926,926,dehydration
4928,559,dehydration
4930,436,dehydration
4930,642,dehydration
4931,745,dehydration
4931,1588,dehydration
4932,800,dehydration
4932,931,dehydration
4934,277,dehydration
4937,1991,dehydration
4975,139,dehydration
4988,543,dehydration
4991,404,dehydration
4994,2065,dehydration
5003,1230,dehydration
5024,170,dehydration
5035,554,dehydration
5035,618,dehydration
5039,675,dehydration
5040,3525,dehydration
5042,2179,dehydration
5049,1153,dehydration
5050,289,dehydration
5055,528,dehydration
5055,3810,starvation
5056,505,dehydration
5056,525,dehydration
5059,591,dehydration
