day,id,reason
10,299,dehydration
14,170,dehydration
22,109,dehydration
22,119,dehydration
22,207,dehydration
23,147,dehydration
60,99,dehydration
60,106,dehydration
61,200,dehydration
66,223,dehydration
67,131,dehydration
69,250,dehydration
92,72,dehydration
94,212,dehydration
102,317,dehydration
137,168,dehydration
170,122,dehydration
180,17,dehydration
584,964,dehydration
585,356,war
585,337,war
585,744,war
585,607,war
585,373,war
585,428,war
585,493,war
585,456,war
585,263,war
585,994,war
585,984,war
585,900,war
585,834,war
585,881,war
585,939,war
585,861,war
585,1073,war
585,916,war
585,1054,war
585,868,war
585,1041,war
585,1007,war
585,963,dehydration
586,422,war
586,139,war
586,815,war
586,502,war
586,393,war
586,537,war
586,134,war
586,454,war
586,118,war
586,1018,war
586,888,war
586,1045,war
586,1078,war
586,917,war
586,977,war
586,951,war
586,978,war
586,884,war
586,879,war
586,962,war
586,1092,war
586,1028,war
587,592,war
587,107,war
587,765,war
587,434,war
587,156,war
587,357,war
587,252,war
587,262,war
587,667,war
587,1035,war
587,1099,war
587,904,war
587,1030,war
587,1076,war
587,1013,war
587,971,war
587,875,war
587,1074,war
587,1090,war
587,848,war
587,1096,war
587,979,war
588,694,war
588,409,war
588,362,war
588,499,war
588,235,war
588,268,war
588,160,war
588,43,war
588,50,war
588,903,war
588,990,war
588,1032,war
588,907,war
588,1053,war
588,960,war
588,838,war
588,1066,war
588,972,war
588,1034,war
588,924,war
588,992,war
588,912,war
589,104,war
589,377,war
589,138,war
589,345,war
589,517,war
589,347,war
589,417,war
589,604,war
589,256,war
589,949,war
589,1048,war
589,1058,war
589,1015,war
589,1023,war
589,844,war
589,891,war
589,878,war
589,841,war
589,910,war
589,915,war
589,930,war
589,843,war
590,115,war
590,634,war
590,244,war
590,154,war
590,325,war
590,457,war
590,561,war
590,580,war
590,809,war
590,1081,war
590,1000,war
590,1037,war
590,1042,war
590,937,war
590,943,war
590,886,war
590,911,war
590,1052,war
590,1024,war
590,849,war
590,1067,war
590,1083,war
590,882,dehydration
591,641,war
591,260,war
591,306,war
591,543,war
591,333,war
591,476,war
591,135,war
591,151,war
591,289,war
591,909,war
591,945,war
591,1029,war
591,970,war
591,922,war
591,989,war
591,985,war
591,863,war
591,890,war
591,980,war
591,936,war
591,957,war
591,1093,war
592,407,war
592,363,war
592,576,war
592,141,war
592,284,war
592,177,war
592,386,war
592,358,war
592,506,war
592,1075,war
592,839,war
592,991,war
592,1070,war
592,1071,war
592,973,war
592,1006,war
592,832,war
592,842,war
592,925,war
592,968,war
592,931,war
592,1098,war
593,653,war
593,424,war
593,411,war
593,354,war
593,41,war
593,370,war
593,618,war
593,206,war
593,342,war
593,867,war
593,1061,war
593,1095,war
593,1063,war
593,940,war
593,918,war
593,981,war
593,1044,war
593,1025,war
593,935,war
593,840,war
593,974,war
593,908,war
593,966,dehydration
594,56,war
594,210,war
594,406,war
594,221,war
594,375,war
594,35,war
594,530,war
594,335,war
594,232,war
594,877,war
594,956,war
594,852,war
594,854,war
594,1065,war
594,999,war
594,1091,war
594,1080,war
594,1079,war
594,895,war
594,1002,war
594,873,war
594,1068,war
595,360,war
595,658,war
595,31,war
595,55,war
595,444,war
595,83,war
595,527,war
595,622,war
595,419,war
595,830,war
595,1056,war
595,997,war
595,986,war
595,1085,war
595,919,war
595,1033,war
595,1014,war
595,1004,war
595,870,war
595,983,war
595,1103,war
595,982,war
596,747,war
596,327,war
596,492,war
596,196,war
596,1107,war
596,405,war
596,452,war
596,399,war
596,804,war
596,1026,war
596,955,war
596,1047,war
596,1077,war
596,850,war
596,1094,war
596,996,war
596,876,war
596,866,war
596,892,war
596,1051,war
596,1043,war
596,864,war
597,1123,war
597,366,war
597,21,war
597,291,war
597,49,war
597,310,war
597,504,war
597,265,war
597,664,war
597,1011,war
597,871,war
597,993,war
597,954,war
597,1089,war
597,1084,war
597,872,war
597,944,war
597,995,war
597,1009,war
597,965,war
597,988,war
598,217,war
598,764,war
598,593,war
598,477,war
598,351,war
598,146,war
598,344,war
598,298,war
598,423,war
598,896,war
598,1049,war
598,1017,war
598,897,war
598,920,war
598,893,war
598,1097,war
598,1101,war
598,901,war
598,1059,war
598,927,war
599,58,war
599,288,war
599,817,war
599,228,war
599,793,war
599,89,war
599,638,war
599,644,war
599,941,war
599,906,war
599,952,war
599,1012,war
599,859,war
599,942,war
599,948,war
599,1072,war
599,961,war
599,902,war
600,311,war
600,123,war
600,532,war
600,149,war
600,768,war
600,384,war
600,390,war
600,446,war
600,1038,war
600,874,war
600,958,war
600,851,war
600,885,war
600,1057,war
600,921,war
600,1062,war
600,1019,war
601,144,war
601,10,war
601,575,war
601,387,war
601,275,war
601,528,war
601,75,war
601,1116,war
601,975,war
601,1005,war
601,947,war
601,836,war
601,1060,war
601,831,war
601,1088,war
601,1064,war
602,553,war
602,534,war
602,460,war
602,1114,war
602,540,war
602,795,war
602,668,war
602,824,war
602,883,war
602,894,war
602,1031,war
602,847,war
602,856,war
602,887,war
602,1027,war
603,767,war
603,182,war
603,137,war
603,520,war
603,280,war
603,826,war
603,194,war
603,987,war
603,1100,war
603,835,war
603,933,war
603,880,war
603,1020,war
604,760,war
604,242,war
604,461,war
604,220,war
604,355,war
604,496,war
604,969,war
604,967,war
604,946,war
604,857,war
604,938,war
604,928,war
605,383,war
605,416,war
605,624,war
605,324,war
605,374,war
605,365,war
605,1003,war
605,926,war
605,1022,war
605,1021,war
605,1102,war
606,304,war
606,53,war
606,660,war
606,812,war
606,438,war
606,315,war
606,905,war
606,869,war
606,1055,war
606,889,war
606,1039,war
607,478,war
607,741,war
607,240,war
607,371,war
607,191,war
607,692,war
607,1086,war
607,865,war
607,914,war
607,1040,war
608,394,war
608,556,war
608,314,war
608,429,war
608,339,war
608,274,war
608,858,war
608,929,war
608,1036,war
608,855,war
609,320,war
609,87,war
609,248,war
609,484,war
609,445,war
609,24,war
609,862,war
609,898,war
609,1046,war
610,285,war
610,579,war
610,213,war
610,513,war
610,110,war
610,709,war
610,833,war
610,1010,war
610,913,war
611,51,war
611,334,war
611,369,war
611,44,war
611,79,war
611,255,war
611,860,war
611,1082,war
611,950,war
612,359,war
612,430,war
612,378,war
612,479,war
612,462,war
612,853,war
612,932,war
613,497,war
613,15,war
613,372,war
613,330,war
613,578,war
613,71,war
613,681,war
613,389,war
613,533,war
613,1008,war
613,1016,war
614,301,war
614,602,war
614,316,war
614,319,war
614,1137,war
614,346,war
614,435,war
614,313,war
614,468,war
614,998,war
614,899,war
615,441,war
615,349,war
615,173,war
615,385,war
615,590,war
615,382,war
615,361,war
615,458,war
615,381,war
615,845,war
615,846,war
616,331,war
616,93,war
616,26,war
616,501,war
616,243,war
616,367,war
616,112,war
616,787,war
616,1134,war
616,953,war
616,934,war
617,620,war
617,672,war
617,510,war
617,711,war
617,90,war
617,776,war
617,1133,war
617,209,war
617,552,war
617,959,war
618,1143,war
618,470,war
618,771,war
618,290,war
618,410,war
618,413,war
618,500,war
618,404,war
618,1087,war
619,567,war
619,5,war
619,1001,war
620,343,war
620,166,war
620,837,war
621,133,war
621,239,war
621,923,war
622,142,war
622,302,war
622,124,war
622,1104,war
623,1119,war
623,749,war
623,777,war
623,976,war
624,251,war
624,117,war
624,1050,war
625,46,war
625,536,war
625,1069,war
626,183,war
626,40,war
627,739,war
627,606,war
628,805,war
628,116,war
629,198,war
629,703,war
630,59,war
630,222,war
631,526,war
631,586,war
631,828,war
631,205,war
631,332,war
631,480,war
632,474,war
632,230,war
632,403,war
632,95,war
632,714,war
632,584,war
633,132,war
633,1153,war
633,810,war
633,467,war
633,397,war
633,697,war
634,1166,war
634,617,war
635,308,war
635,591,war
636,704,war
636,509,war
637,1145,war
637,539,war
638,266,war
638,725,war
639,145,war
639,174,war
640,1109,war
640,823,war
641,336,war
641,755,war
642,427,war
642,752,war
643,218,war
643,1106,war
644,247,war
644,1173,war
645,33,war
645,415,war
646,1176,war
646,1124,war
647,305,war
647,241,war
648,155,war
648,569,war
649,295,war
649,1156,war
650,283,war
650,425,war
651,722,war
651,674,war
652,448,war
652,1177,war
653,632,war
653,195,war
654,77,war
654,639,war
655,596,war
655,1163,war
656,616,war
656,178,war
657,515,war
657,128,war
658,1157,war
658,825,war
659,4,war
659,125,war
660,88,war
660,577,war
661,203,war
661,392,war
661,396,war
661,691,war
661,472,war
661,542,war
662,103,war
662,791,war
662,558,war
662,253,war
662,395,war
662,453,war
663,782,war
663,490,war
664,30,war
664,678,war
665,551,war
665,1129,war
666,770,war
666,627,war
667,690,war
667,762,war
667,766,war
667,307,war
667,81,war
667,442,war
668,544,war
668,682,war
668,488,war
668,554,war
668,400,war
668,340,war
669,717,war
669,1183,war
670,758,war
670,475,war
671,286,war
671,557,war
672,495,war
672,807,war
673,245,war
673,271,war
674,341,war
674,1188,war
674,376,war
674,481,war
674,439,war
674,573,war
675,179,war
675,773,war
676,649,war
676,279,war
677,11,war
677,583,war
678,164,war
678,822,war
679,368,war
679,455,war
679,469,war
679,524,war
679,581,war
679,338,war
680,646,war
680,669,war
680,710,war
680,701,war
680,598,war
680,431,war
681,631,war
681,659,war
681,811,war
681,603,war
681,215,war
681,1172,war
682,550,war
682,756,war
683,753,war
683,229,war
684,73,war
684,716,war
685,69,war
685,738,war
686,1184,war
686,705,war
687,545,war
687,565,war
688,675,war
688,783,war
689,684,war
689,270,war
690,70,war
690,269,war
691,821,war
691,772,war
692,589,war
692,1120,war
693,277,war
693,187,war
694,1182,war
694,726,war
695,609,war
695,780,war
696,113,war
696,364,war
697,264,war
697,661,war
698,202,war
698,1148,war
699,1191,war
699,571,war
700,226,war
700,102,war
701,1146,war
701,734,war
702,6,war
702,750,war
703,126,war
703,1187,war
704,1144,war
704,482,war
705,105,war
705,587,war
705,740,war
705,516,war
705,610,war
705,671,war
706,321,war
706,352,war
706,742,war
706,436,war
706,511,war
706,353,war
707,695,war
707,677,war
707,637,war
707,505,war
707,531,war
707,108,war
708,1167,war
708,485,war
708,698,war
708,408,war
708,521,war
708,633,war
709,258,war
709,292,war
710,28,war
710,562,war
711,153,war
711,1180,war
712,1121,war
712,473,war
713,328,war
713,25,war
714,204,war
714,322,war
715,1128,war
715,1179,war
716,1131,war
716,736,war
717,294,war
717,696,war
717,451,war
717,792,war
717,743,war
717,689,war
718,1122,war
718,503,war
719,91,war
719,642,war
720,491,war
720,564,war
721,727,war
721,136,war
722,421,war
722,159,war
722,670,war
722,733,war
722,655,war
722,231,war
723,654,war
723,465,war
723,719,war
723,1195,war
723,518,war
723,605,war
724,702,war
724,180,war
725,1185,war
725,662,war
726,614,war
726,676,war
727,16,war
727,148,war
728,785,war
728,7,war
729,163,war
729,214,war
730,720,war
730,651,war
731,685,war
731,379,war
732,1115,war
732,150,war
733,612,war
733,1142,war
734,14,war
734,1,war
735,789,war
735,1113,war
736,80,war
736,188,war
737,19,war
737,440,war
738,599,war
738,211,war
739,786,war
739,816,war
740,391,war
740,1147,war
741,318,war
741,1161,war
742,121,war
742,216,war
743,629,war
743,1117,war
744,114,war
744,1141,war
745,724,war
745,796,war
746,1140,war
746,293,war
747,1189,war
747,1136,war
748,272,war
748,1130,war
749,65,war
749,1108,war
750,732,war
750,829,war
751,312,war
751,48,war
751,1238,war
751,1300,war
751,1319,war
752,514,war
752,774,war
752,433,war
752,432,war
752,38,war
752,746,war
752,437,war
752,1169,war
752,628,war
752,287,war
752,731,war
752,23,war
752,1152,war
752,522,war
752,300,war
752,158,war
752,1243,war
752,1248,war
752,1249,war
752,1463,war
752,1262,war
752,1253,war
752,1273,war
752,1260,war
752,1375,war
752,1311,war
752,1420,war
752,1203,war
752,1217,war
752,1353,war
752,1485,war
752,1422,war
752,1200,war
752,1236,war
752,1221,war
752,1199,war
752,1484,war
752,1458,war
752,1322,war
752,1296,war
752,1202,war
752,1313,war
752,1397,war
752,1265,war
752,1419,war
752,1429,war
753,466,war
753,585,war
753,54,war
753,706,war
753,601,war
753,566,war
753,224,war
753,296,war
753,60,war
753,42,war
753,1150,war
753,798,war
753,236,war
753,120,war
753,13,war
753,801,war
753,1213,war
753,1330,war
753,1235,war
753,1216,war
753,1384,war
753,1283,war
753,1297,war
753,1263,war
753,1354,war
753,1234,war
753,1302,war
753,1337,war
753,1299,war
753,1303,war
753,1361,war
753,1414,war
753,1475,war
753,1335,war
753,1270,war
753,1318,war
753,1349,war
753,1286,war
753,1345,war
753,1346,war
753,1493,war
753,1474,war
753,1446,war
754,326,war
754,519,war
754,713,war
754,443,war
754,588,war
754,450,war
754,769,war
754,656,war
754,688,war
754,723,war
754,3,war
754,555,war
754,806,war
754,85,war
754,820,war
754,171,war
754,1312,war
754,1268,war
754,1459,war
754,1290,war
754,1331,war
754,1352,war
754,1363,war
754,1483,war
754,1274,war
754,1362,war
754,1451,war
754,1482,war
754,1204,war
754,1298,war
754,1435,war
754,1440,war
754,1421,war
754,1402,war
754,1317,war
754,1326,war
754,1278,war
754,1416,war
754,1289,war
754,1225,war
754,1408,war
755,635,war
755,529,war
755,1155,war
755,708,war
755,464,war
755,449,war
755,234,war
755,278,war
755,1126,war
755,225,war
755,97,war
755,1149,war
755,101,war
755,549,war
755,652,war
755,96,war
755,1245,war
755,1401,war
755,1272,war
755,1378,war
755,1254,war
755,1426,war
755,1399,war
755,1259,war
755,1258,war
755,1206,war
755,1487,war
755,1314,war
755,1478,war
755,1292,war
755,1291,war
755,1257,war
755,1341,war
755,1333,war
755,1276,war
755,1315,war
755,1403,war
755,1240,war
755,1215,dehydration
756,754,war
756,818,war
756,249,war
756,679,war
756,402,war
756,647,war
756,27,war
756,175,war
756,559,war
756,563,war
756,447,war
756,759,war
756,1170,war
756,1158,war
756,227,war
756,1132,war
756,757,war
756,1464,war
756,1271,war
756,1219,war
756,1359,war
756,1413,war
756,1211,war
756,1325,war
756,1383,war
756,1264,war
756,1472,war
756,1304,war
756,1400,war
756,1376,war
756,1388,war
756,1356,war
756,1453,war
756,1266,war
756,1220,war
756,1494,war
756,1214,war
757,1194,war
757,827,war
757,608,war
757,595,war
757,508,war
757,161,war
757,600,war
757,574,war
757,648,war
757,201,war
757,1193,war
757,276,war
757,1105,war
757,12,war
757,238,war
757,1351,war
757,1490,war
757,1438,war
757,1380,war
757,1465,war
757,1205,war
757,1224,war
757,1242,war
757,1339,war
757,1308,war
757,1439,war
757,1390,war
757,1424,war
757,1480,war
757,1410,war
757,1412,war
757,1441,war
757,1392,war
757,1407,dehydration
758,487,war
758,498,war
758,401,war
758,426,war
758,712,war
758,208,war
758,507,war
758,1154,war
758,781,war
758,22,war
758,1165,war
758,615,war
758,47,war
758,273,war
758,1433,war
758,1394,war
758,1231,war
758,1473,war
758,1226,war
758,1452,war
758,1293,war
758,1327,war
758,1201,war
758,1246,war
758,1387,war
758,1301,war
758,1358,war
758,1444,war
758,1316,war
758,1488,war
758,1355,dehydration
759,94,war
759,523,war
759,350,war
759,1110,war
759,730,war
759,329,war
759,621,war
759,572,war
759,52,war
759,626,war
759,1125,war
759,162,war
759,784,war
759,62,war
759,1405,war
759,1334,war
759,1228,war
759,1434,war
759,1323,war
759,1385,war
759,1448,war
759,1428,war
759,1223,war
759,1321,war
759,1469,war
759,1467,war
759,1430,war
759,1329,war
760,1138,war
760,715,war
760,630,war
760,535,war
760,309,war
760,643,war
760,98,war
760,100,war
760,794,war
